species,scenario_id,source,year,n_seasons,annual_anomaly,tmin_used,tmax_used
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,1989,2,2.493103689004739,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,1990,2,13.857530722819762,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,1991,2,14.945616250349028,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,1992,2,-6.216225696929346,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,1993,2,-2.5958268416264705,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,1994,2,14.838580146311399,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,1995,2,-1.0212134611135983,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,1996,2,6.606965569090654,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,1997,2,-4.0056608437166705,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,1998,2,20.60385370601434,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,1999,2,2.6449815797055507,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,2000,2,6.312529627402633,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,2001,2,13.715874358824813,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,2002,2,22.367573879997053,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,2003,2,15.449049145559222,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,2004,2,9.439028374098156,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,2005,2,5.363291265273254,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,2006,2,10.727447892713881,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,2007,2,9.74321991719394,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,2008,2,5.970982648385906,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,2009,2,8.949743731937666,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,2010,2,27.0073848963681,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,2011,2,20.118288005452847,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,2012,2,29.287019022804344,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,2013,2,15.05696771135296,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,2014,2,3.4478318738609346,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,2015,2,-4.217971653512862,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,2016,2,-0.75433849710695,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,2017,2,29.016583675061725,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,2018,2,-12.58655903514348,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,2019,2,4.5021700701169305,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,2020,2,5.837607444699495,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,2022,2,11.81156673275018,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,2023,2,21.782697764217502,8.882000000000001,20.5
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,2024,2,16.65161720932194,8.882000000000001,20.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1959,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1960,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1961,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1962,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1963,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1964,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1965,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1966,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1967,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1968,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1969,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1970,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1971,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1972,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1973,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1974,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1975,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1976,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1977,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1978,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1979,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1980,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1981,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1982,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1983,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1984,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1985,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1986,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1987,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1988,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1989,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1990,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1991,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1992,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1993,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1994,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1995,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1996,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1997,2,0,1.3,24.5
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,1998,2,0,1.3,24.5
