species,scenario_id,source,baseline_mean,baseline_sd
OFFSHORE HAKE,OFFSHORE HAKE_Lit_Opt_1,Lit_Opt_1,16.7452158697073,9.286062086166371
OFFSHORE HAKE,OFFSHORE HAKE_Survey_0_100,Survey_0_100,-0.007620959954842021,0.018681498351081495
OFFSHORE HAKE,OFFSHORE HAKE_Survey_10_90,Survey_10_90,2.656094116924336,10.640598200697488
POLLOCK,POLLOCK_Survey_0_100,Survey_0_100,0,0
POLLOCK,POLLOCK_Survey_10_90,Survey_10_90,3.133895332703288,7.086383885648526
RED HAKE,RED HAKE_Survey_0_100,Survey_0_100,-0.00158782338099049,0.006577465486315264
RED HAKE,RED HAKE_Survey_10_90,Survey_10_90,0.09865735746378541,7.837028878698987
ROSETTE SKATE,ROSETTE SKATE_Survey_0_100,Survey_0_100,1.9683486258721876,1.0463749095553614
ROSETTE SKATE,ROSETTE SKATE_Survey_10_90,Survey_10_90,23.01623812531599,17.148268278711576
SCUP,SCUP_Survey_0_100,Survey_0_100,-1.2371634000745577,2.819427764452541
SCUP,SCUP_Survey_10_90,Survey_10_90,14.77388240898097,15.588735067106631
SEA SCALLOP,SEA SCALLOP_Survey_0_100,Survey_0_100,-0.009386299516944517,0.025932754283595767
SEA SCALLOP,SEA SCALLOP_Survey_10_90,Survey_10_90,2.4510511211149426,9.967405516784952
SILVER HAKE,SILVER HAKE_Survey_0_100,Survey_0_100,-3.764097019967489e-4,0.0015652340115231622
SILVER HAKE,SILVER HAKE_Survey_10_90,Survey_10_90,1.129877435929863,8.753867300355079
SMOOTH SKATE,SMOOTH SKATE_Survey_0_100,Survey_0_100,-1.0505080858157087e-4,3.654776420863174e-4
SMOOTH SKATE,SMOOTH SKATE_Survey_10_90,Survey_10_90,-0.8848605405191428,11.930728838304216
SPINY DOGFISH,SPINY DOGFISH_Lit_Opt_1,Lit_Opt_1,3.1313901462408578,9.235887544741395
SPINY DOGFISH,SPINY DOGFISH_Lit_Opt_2,Lit_Opt_2,3.2528840446894582,10.270381096273383
SPINY DOGFISH,SPINY DOGFISH_Lit_Opt_3,Lit_Opt_3,10.599329174440298,14.917361498235017
SPINY DOGFISH,SPINY DOGFISH_Lit_Stress_1,Lit_Stress_1,0.11014578210961933,0.1917663508385689
SPINY DOGFISH,SPINY DOGFISH_Survey_0_100,Survey_0_100,-0.02271838022136687,0.04934766371353684
SPINY DOGFISH,SPINY DOGFISH_Survey_10_90,Survey_10_90,2.976341310468428,11.034980616843452
SPOT,SPOT_Survey_0_100,Survey_0_100,-3.1038912529286113,8.292922077385697
SPOT,SPOT_Survey_10_90,Survey_10_90,0.07850989128066373,14.453140002523067
STRIPED BASS,STRIPED BASS_Survey_0_100,Survey_0_100,-0.1714243573897112,0.42211009471181865
STRIPED BASS,STRIPED BASS_Survey_10_90,Survey_10_90,-6.557520911238047,7.027513932237635
SUMMER FLOUNDER,SUMMER FLOUNDER_Survey_0_100,Survey_0_100,0,0
SUMMER FLOUNDER,SUMMER FLOUNDER_Survey_10_90,Survey_10_90,1.5891078550073405,10.381028389196638
TAUTOG,TAUTOG_Survey_0_100,Survey_0_100,0,0
TAUTOG,TAUTOG_Survey_10_90,Survey_10_90,-0.3948631300695252,6.957536286291888
THORNY SKATE,THORNY SKATE_Survey_0_100,Survey_0_100,0,0
THORNY SKATE,THORNY SKATE_Survey_10_90,Survey_10_90,-0.7345506769828366,5.818990700912162
TILEFISH,TILEFISH_Survey_0_100,Survey_0_100,-0.010121143200303113,0.03115372008741551
TILEFISH,TILEFISH_Survey_10_90,Survey_10_90,40.50801383744506,22.223496882714596
WEAKFISH,WEAKFISH_Lit_Stress_1,Lit_Stress_1,9.3720833805365,14.839214044982363
WEAKFISH,WEAKFISH_Survey_0_100,Survey_0_100,3.164743184171654,5.514466219647996
WEAKFISH,WEAKFISH_Survey_10_90,Survey_10_90,2.469120887249223,12.768950204609943
WHITE HAKE,WHITE HAKE_Survey_0_100,Survey_0_100,0,0
WHITE HAKE,WHITE HAKE_Survey_10_90,Survey_10_90,-1.2346158654405608,10.277784522959388
WINDOWPANE,WINDOWPANE_Survey_0_100,Survey_0_100,0,0
WINDOWPANE,WINDOWPANE_Survey_10_90,Survey_10_90,3.004844472112832,8.666073198342762
WINTER FLOUNDER,WINTER FLOUNDER_Lit_Opt_1,Lit_Opt_1,4.706167004870345,10.922959260100573
WINTER FLOUNDER,WINTER FLOUNDER_Lit_Stress_1,Lit_Stress_1,0.00116178676333818,0.0035979073860726994
WINTER FLOUNDER,WINTER FLOUNDER_Survey_0_100,Survey_0_100,-8.652223801751299e-5,4.739018148802293e-4
WINTER FLOUNDER,WINTER FLOUNDER_Survey_10_90,Survey_10_90,2.3283923118345884,8.61206314313417
WINTER SKATE,WINTER SKATE_Survey_0_100,Survey_0_100,0,0
WINTER SKATE,WINTER SKATE_Survey_10_90,Survey_10_90,1.6891068218308203,7.756704692964813
WITCH FLOUNDER,WITCH FLOUNDER_Survey_0_100,Survey_0_100,-5.071407166563324e-4,0.0020048011963468707
WITCH FLOUNDER,WITCH FLOUNDER_Survey_10_90,Survey_10_90,-6.061186633922412,7.432720535027503
YELLOWTAIL FLOUNDER,YELLOWTAIL FLOUNDER_Survey_0_100,Survey_0_100,-0.05289298967398726,0.07961154098489244
YELLOWTAIL FLOUNDER,YELLOWTAIL FLOUNDER_Survey_10_90,Survey_10_90,-1.33526807268756,8.638567110678984
