"Code","SEASON","min_bottom_temp","max_bottom_temp","min_surface_temp","max_surface_temp","min_bottom_sal","max_bottom_sal","min_surface_sal","max_surface_sal"
"ANC","FALL",8.54,28.12,11.1,28.74,"22.1","36.21","20.356","36.111"
"ANC","SPRING",3.5,22.5,3.4,21.83,"23.52","36.487","20.286","36.493"
"ANC","SUMMER",8.6,29.4,16.2,29.9,"NA","NA","NA","NA"
"ANC","WINTER",2,10.97,1.9,5.73,"31.711","33.625","29.57","33.105"
"BC","FALL",4.47,29.85,7.4,29.54,"31.577","36.5","30.769","36.391"
"BC","SPRING",2.13,21.31,1.64,23.06,"31.045","36.454","24.249","36.374"
"BC","SUMMER",5.1,21.9,15.96,27.1,"31.945","33.881","31.559","32.062"
"BC","WINTER",4.5,19.64,3.84,19.75,"32.374","36.365","32.179","36.466"
"BFF","FALL",7.2,28.04,9.79,28.77,"31.516","36.493","30.569","36.233"
"BFF","SPRING",4.1,19.44,3.8,24.95,"32.723","36.402","31.798","36.466"
"BFF","SUMMER",7.3,7.3,25,25,"NA","NA","NA","NA"
"BFF","WINTER",11.33,11.33,15.07,15.07,"35.416","35.416","35.446","35.446"
"BG","FALL",11.9,12.1,13.2,13.5,"NA","NA","NA","NA"
"BG","SUMMER",6.2,24.7,9.2,28.1,"NA","NA","NA","NA"
"BIL","FALL",9.28,12.55,17.9,27.33,"32.079","35.512","31.764","36.073"
"BLF","FALL",6.3,27.8,9.7,28,"22.1","36.206","20.356","36.111"
"BLF","SPRING",7.67,22.5,6.11,23.69,"32.019","36.389","30.073","36.574"
"BLF","SUMMER",7.7,29.4,12.5,29.9,"NA","NA","NA","NA"
"BLF","WINTER",8.36,17.64,5.58,18.4,"32.803","36.312","31.921","36.354"
"BMS","FALL",4.47,29.85,8.1,29.57,"27.223","36.516","20.356","36.391"
"BMS","SPRING",1.23,22,1.26,24.64,"24.655","36.429","15.925","36.613"
"BMS","SUMMER",4.23,28.1,9.2,29,"32.602","34.804","30.895","32.083"
"BMS","WINTER",0.9,19.64,0.88,20.72,"30.907","36.365","29.102","36.478"
"BPF","FALL",4.8,28.2,6.2,29.76,"27.223","36.512","23.646","36.239"
"BPF","SPRING",1.23,22.67,0.6,23.64,"24.138","36.554","20.286","36.574"
"BPF","SUMMER",4.5,28.1,9.5,29,"33.994","34.818","31.663","32.495"
"BPF","WINTER",1.1,14.84,0.88,19.47,"31.325","35.799","29.102","36.478"
"BSB","FALL",6.28,29.85,8.4,28.74,"27.962","36.401","25.432","36.248"
"BSB","SPRING",3.25,21.85,3.44,23.69,"27.345","36.404","23.547","36.376"
"BSB","SUMMER",5.6,29.4,17.7,29.9,"NA","NA","NA","NA"
"BSB","WINTER",2.99,19.64,2.76,20.27,"30.907","36.365","29.858","36.414"
"BUT","FALL",4.3,29.85,6.8,29.76,"22.1","36.5","20.356","36.391"
"BUT","SPRING",3.8,22.67,0.6,24.95,"26.032","36.846","23.547","36.613"
"BUT","SUMMER",2.5,28.1,9.2,29,"31.119","34.403","30.902","32.656"
"BUT","WINTER",3,19.64,2,20.72,"30.907","36.361","29.102","36.466"
"CLA","FALL",11.68,24.24,11.54,26.77,"30.189","34.754","29.387","33.874"
"CLA","SPRING",3.9,11.46,4.46,11.37,"31.608","34.62","30.637","34.624"
"CLA","SUMMER",9.8,19.2,12.8,19.5,"NA","NA","NA","NA"
"CLA","WINTER",4.06,9.47,3.3,9.13,"31.909","34.1","31.912","33.927"
"COD","FALL",2.2,19.2,5.2,23.52,"30.979","35.345","28.944","33.946"
"COD","SPRING",1.3,12.8,0.4,15.2,"26.547","35.535","24.249","34.957"
"COD","SUMMER",1.5,15.9,2,26.7,"31.513","35.085","30.057","32.692"
"COD","WINTER",-1,12.56,-0.6,9.24,"31.613","35.402","31.052","33.816"
"DOG","FALL",3.6,22.91,5.2,28.58,"29.321","35.87","20.615","36.187"
"DOG","SPRING",1.7,16.9,0.6,20.15,"23.52","35.903","20.286","36.42"
"DOG","SUMMER",3,17,4.7,26.7,"31.119","34.818","30.057","32.656"
"DOG","WINTER",1.1,16.62,1,19.47,"30.907","36.255","29.237","36.478"
"DRM","FALL",8.2,28.51,10.4,28.91,"22.1","36.455","20.356","36.244"
"DRM","SPRING",4.54,22.5,4.34,24.91,"24.655","36.62","23.231","36.613"
"DRM","SUMMER",7.6,29.4,15.8,29.9,"NA","NA","NA","NA"
"DRM","WINTER",2.8,19.64,1.5,19.75,"31.165","36.361","29.102","36.355"
"DSH","FALL",7.35,29.85,9.5,29.57,"22.1","36.5","22.1","36.343"
"DSH","SPRING",4,22.67,4.04,24.91,"32.852","36.741","26.189","36.624"
"DSH","SUMMER",9.8,29.4,15.8,29.9,"NA","NA","NA","NA"
"DSH","WINTER",6.5,18.26,3.48,19.43,"32.623","36.365","31.346","36.466"
"FDE","FALL",2.3,26.78,6.3,27.25,"28.676","36.168","26.759","35.889"
"FDE","SPRING",1,17.2,0.9,19.2,"23.267","35.835","15.925","36.111"
"FDE","SUMMER",3,26.3,7.9,25.4,"31.513","34.717","30.057","32.362"
"FDE","WINTER",1.3,14.94,1.1,12.08,"30.907","35.771","29.102","35.231"
"FDF","FALL",2.2,29.85,6.2,29.76,"22.1","36.516","20.356","36.395"
"FDF","SPRING",1,22.67,0.4,24.95,"23.267","36.875","15.925","36.624"
"FDF","SUMMER",1.1,29.4,2.2,29.9,"31.119","35.085","30.057","32.692"
"FDF","WINTER",-1.4,19.64,-1.4,20.72,"30.907","36.365","29.102","36.478"
"FLA","FALL",5.04,28.51,6.4,29.76,"27.223","36.482","25.576","36.369"
"FLA","SPRING",2.63,21.3,1.6,24.64,"24.655","36.846","23.231","36.613"
"FLA","SUMMER",1.1,23.2,2.2,27.4,"NA","NA","NA","NA"
"FLA","WINTER",1.44,19.64,1.41,20.72,"31.165","36.361","30.239","36.414"
"FOU","FALL",4.72,26.75,6.9,29.76,"28.676","36.164","25.432","36.369"
"FOU","SPRING",2.16,19.29,1.46,24.64,"26.547","36.44","23.547","36.613"
"FOU","SUMMER",2.5,17.9,10.6,27.4,"31.501","32.774","30.645","32.053"
"FOU","WINTER",0.9,19.64,1,20.72,"31.61","36.365","29.796","36.478"
"GOO","FALL",2.8,23.63,6.3,29.21,"29.84","36.215","28.53","36.22"
"GOO","SPRING",1,20,1.64,23.53,"29.705","35.903","24.249","36.43"
"GOO","SUMMER",3.35,15.8,4.7,26.9,"31.551","35.053","30.105","32.692"
"GOO","WINTER",0.9,17.76,0.8,20.27,"30.907","36.342","29.102","36.478"
"HAD","FALL",2.6,18.96,5.2,27.03,"30.979","35.742","28.914","35.891"
"HAD","SPRING",1.6,13.64,0.4,15.75,"30.613","35.673","24.249","35.82"
"HAD","SUMMER",1.1,15.8,2,26.4,"31.551","35.085","30.433","32.569"
"HAD","WINTER",1.4,12.81,0.8,12.6,"31.896","35.402","31.48","35.273"
"HAL","FALL",2.6,13.9,7.3,17.75,"31.056","34.96","30.773","33.873"
"HAL","SPRING",2,12.3,1.21,11.68,"31.691","34.947","27.148","33.266"
"HAL","SUMMER",4,10.5,8.4,20.82,"32.403","32.403","31.612","31.612"
"HAL","WINTER",1.8,7.91,1,5.55,"32.376","33.603","31.815","32.232"
"HER","FALL",3.5,26.6,6.3,27,"30.928","35.557","28.914","34.909"
"HER","SPRING",1.23,20.63,0.7,21.7,"23.267","36.418","15.925","36.38"
"HER","SUMMER",3,21.8,8.4,24,"31.119","35.062","30.057","32.692"
"HER","WINTER",1.3,13.73,0.8,10.63,"30.907","35.387","29.102","35.003"
"ISQ","FALL",2.3,29.85,6,29.76,"27.643","36.512","26.556","36.395"
"ISQ","SPRING",2.9,21.3,0.6,24.64,"32.153","36.489","23.547","36.624"
"ISQ","SUMMER",1.1,21,2,28,"31.501","35.062","30.057","32.692"
"ISQ","WINTER",3.78,17.64,2,20.72,"31.916","36.312","31.535","36.478"
"LOB","FALL",3.5,24.3,6.4,27.16,"29.84","36.107","20.615","36.187"
"LOB","SPRING",1.35,18.2,0.6,18.6,"26.547","35.707","15.925","36.116"
"LOB","SUMMER",1.1,20.51,2.2,27.4,"30.904","35.085","30.057","32.577"
"LOB","WINTER",1.7,14.79,1,19.4,"31.076","35.862","29.102","36.466"
"LSK","FALL",2.6,23.45,6,28.36,"28.615","35.995","25.432","36.187"
"LSK","SPRING",1.4,16.27,0.6,20.15,"23.52","35.772","15.925","36.363"
"LSK","SUMMER",3.8,21,9.3,27,"30.904","31.943","30.645","31.561"
"LSK","WINTER",-1.4,15.08,-1.4,15.76,"30.907","35.854","29.102","35.977"
"LSQ","FALL",4.63,29.85,7.1,29.76,"22.1","36.527","20.615","36.395"
"LSQ","SPRING",2.41,22.67,0.6,24.95,"26.745","36.875","23.547","36.624"
"LSQ","SUMMER",5.1,27.3,12,28.3,"30.904","33.994","30.87","32.021"
"LSQ","WINTER",2.76,19.64,2,20.72,"30.907","36.365","29.57","36.478"
