"","Scientific.Name","Location","Age.Group","Temp_Obs_Min","Temp_Obs_Mean","Temp_Obs_Max","Temp_Stress_Min","Temp_Stress_Max","Temp_Lethal_Min","Temp_Lethal_Mean","Temp_Lethal_Max","temp_threshold","Salinity_Obs_Min","Salinity_Obs_Mean","Salinity_Obs_Max","Salinity_Stress_Min","Salinity_Stress_Max","Salinity_Lethal_Min","Salinity_Lethal_Max","sal_threshold"
"1","Alosa aestivalis","Northeast US","Egg",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
"2","Alosa aestivalis","Northeast US","Juvenile",1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1
"3","Alosa aestivalis","Northeast US","Larval",0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1
"4","Alosa pseudoharengus","Northeast US","Adult",1,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0
"5","Alosa pseudoharengus","Northeast US","Egg",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
"6","Alosa pseudoharengus","Northeast US","Juvenile",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"7","Alosa pseudoharengus","Northeast US","Larval",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
"8","Alosa pseudoharengus","Other","Adult",1,0,1,1,0,2,0,1,2,0,0,0,0,0,0,0,0
"9","Alosa pseudoharengus","Other","Juvenile",1,0,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0
"10","Alosa sapidissima","China","Adult",0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"11","Alosa sapidissima","China","Egg",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1
"12","Alosa sapidissima","China","Juvenile",0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2
"13","Alosa sapidissima","Northeast US","Juvenile",0,0,0,2,0,2,1,2,3,0,0,0,1,1,0,0,1
"14","Alosa sapidissima","Northeast US","Larval",0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
"15","Amblyraja radiata","Canada","Adult",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"16","Amblyraja radiata","Europe","Adult",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"17","Amblyraja radiata","Northeast US","Adult",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"18","Anarhichas lupus","Canada","Adult",1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1
"19","Anarhichas lupus","Canada","Juvenile",0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,2
"20","Anarhichas lupus","Canada","Larval",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"21","Anarhichas lupus","Europe","Egg",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
