Code,min_bottom_temp,max_bottom_temp,min_surface_temp,max_surface_temp,min_bottom_sal,max_bottom_sal,min_surface_sal,max_surface_sal,PorD
BLF,na,na,na,na,na,na,na,na,P
BSB,7.9,30,na,na,na,na,na,na,D
BUT,na,na,na,na,na,na,na,na,P
CLA,8,22,na,na,na,na,na,na,D
COD,4,13.3,na,na,na,na,na,na,D
DOG,5,21,na,na,na,na,na,na,D
DRM,5,30,na,na,na,na,na,na,D
FDE,na,na,10,27,na,na,na,na,P
GOO,8.8,21.1,na,na,na,na,na,na,D
HAD,4,12,na,na,na,na,na,na,D
HAL,2,15,na,na,na,na,na,na,D
HER,na,na,7,17,na,na,na,na,P
ISQ,na,na,12,22,na,na,na,na,P
LSK,na,na,na,na,na,na,na,na,D
MAK,na,na,7.5,20.7,na,na,na,na,P
MEN,na,na,12,25,na,na,na,na,P
NSH,na,na,1,10,na,na,na,na,P
OHK,11,13,na,na,na,na,na,na,D
OPT,na,na,na,na,na,na,na,na,D
PLA,na,na,na,na,na,na,na,na,D
POL,na,na,na,na,na,na,na,na,D
QHG,11,14.5,na,na,na,na,na,na,D
RED,na,na,na,na,na,na,na,na,D
RHK,na,na,na,na,na,na,na,na,D
SAL,na,na,na,na,na,na,na,na,D
SCA,5,18,na,na,na,na,na,na,D
SCU,na,na,na,na,na,na,na,na,D
SDF,na,na,na,na,na,na,na,na,P
SHK,na,na,na,na,na,na,na,na,D
SK,0.5,27,na,na,na,na,na,na,D
STB,5,28,na,na,na,na,na,na,D
SUF,10,24,na,na,na,na,na,na,D
TAU,10,22,na,na,na,na,na,na,D
TYL,9,14,na,na,na,na,na,na,D
WHK,na,na,na,na,na,na,na,na,D
WIF,0,20,na,na,na,na,na,na,D
WOL,2,16,na,na,na,na,na,na,D
WPF,0,19,na,na,na,na,na,na,D
WSK,na,na,na,na,na,na,na,na,D
WTF,0,16.2,na,na,na,na,na,na,D
YTF,5,12,na,na,na,na,na,na,D
