"","Scientific.Name","Location","Temp_Obs_Min","Temp_Obs_Mean","Temp_Obs_Max","Temp_Stress_Min","Temp_Stress_Max","Temp_Lethal_Min","Temp_Lethal_Mean","Temp_Lethal_Max","temp_threshold","Salinity_Obs_Min","Salinity_Obs_Mean","Salinity_Obs_Max","Salinity_Stress_Min","Salinity_Stress_Max","Salinity_Lethal_Min","Salinity_Lethal_Max","sal_threshold"
"45","Leiostomus xanthurus","Northeast US",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"46","Leiostomus xanthurus","Southeast US",0,0,0,1,1,1,0,1,2,1,0,1,1,1,0,0,2
"47","Leucoraja erinacea","Northeast US",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"48","Leucoraja garmani","Northeast US",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"49","Leucoraja ocellata","Northeast US",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"50","Limanda ferruginea","Northeast US",1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1
"51","Lophius americanus","Northeast US",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"52","Lopholatilus chamaeleonticeps","Southeast US",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"53","Malacoraja senta","Northeast US",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"54","Melanogrammus aeglefinus","Canada",1,0,1,1,0,0,0,1,3,1,1,1,1,1,0,0,2
"55","Melanogrammus aeglefinus","Europe",2,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1
"56","Melanogrammus aeglefinus","Northeast US",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"57","Merluccius albidus","Northeast US",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"58","Micropoginias undulatus","Southeast US",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"59","Micropogonias undulatus","Northeast US",0,3,0,1,0,2,0,0,5,3,0,3,0,0,0,0,3
"60","Micropogonias undulatus","Southeast US",2,2,1,0,1,0,0,0,3,1,0,1,0,0,0,0,1
"61","Morone saxatilis","Canada",2,1,2,1,2,1,0,0,4,1,0,1,0,2,0,0,2
"62","Morone saxatilis","Northeast US",1,1,1,0,0,1,0,2,3,2,2,2,0,1,1,1,3
"63","Morone saxatilis","Unknown",2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"64","Morone saxitilis","Pacific US",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"65","Morone saxitilis","Southeast US",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"66","Pandalus borealis","Canada",7,1,8,0,3,1,0,1,8,0,0,0,0,0,0,0,0
"67","Pandalus borealis","Europe",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"68","Paralichthys dentatus","East Coast US",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"69","Paralichthys dentatus","Northeast US",0,0,0,0,0,2,0,1,2,1,0,1,0,0,0,0,1
"70","Paralichthys dentatus","Southeast US",2,1,2,0,1,0,0,0,2,1,0,1,0,0,0,0,1
"71","Placopecten magellanicus","Canada",2,1,3,0,1,1,0,1,4,2,0,1,1,1,1,0,3
"72","Placopecten magellanicus","Northeast US",1,0,3,2,0,1,0,0,3,0,0,0,0,0,0,0,0
"73","Pleuronectes americanus","Canada",1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1
"74","Pleuronectes americanus","Northeast US",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"75","Pleuronectes americanus)","Northeast US",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"76","Pollachius virens","Europe",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"77","Pomatomus saltatrix","Northeast US",0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1
"78","Pseudopleuronectes americanus","Canada",1,0,1,2,1,0,0,0,2,1,0,1,0,0,0,1,2
"79","Pseudopleuronectes americanus","Northeast US",2,1,2,1,2,1,0,3,4,1,0,1,0,0,0,0,1
"80","Pseudopleuronectes americanus and Stenotomus chrysops, L.","Northeast US",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"81","Raja eglanteria","Northeast US",1,1,1,0,0,0,0,0,2,1,0,1,0,0,0,0,1
"82","Salmo salar","Canada",0,1,1,3,3,1,1,5,11,0,0,0,0,0,0,0,0
"83","Salmo salar","Europe",2,2,2,5,3,1,0,4,10,0,2,0,0,1,0,0,2
"84","Salmo salar","Northeast US",2,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0
"85","Salmo salar","Tasmania",1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"86","Sciaenops ocellata","Southeast US",0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
"87","Sciaenops ocellatus","Southeast US",2,1,1,0,1,1,0,3,5,0,0,0,0,0,0,0,0
"88","Sciaenops octellatus","Southeast US",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"89","Scomber scombrus","East Coast US",2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"90","Scomber scombrus","Europe",5,2,4,1,1,2,0,2,6,0,0,0,0,0,0,0,0
"91","Scophthalmus aquosus","Northeast US",2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"92","Spisula solidissima","Canada",1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,1
"93","Spisula solidissima","Northeast US",2,4,3,2,1,2,0,1,9,0,1,0,0,0,0,0,1
"94","Squalus acanthias","Canada",1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1
"95","Squalus acanthias","Europe",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"96","Squalus acanthias","Northeast US",6,4,5,2,2,0,0,1,8,3,3,3,0,0,0,0,3
"97","Squalus acanthias","Pacific US",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"98","Squalus acanthias","Southeast US",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"99","Stenotomus chrysops, L.","Northeast US",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"100","Tautoga onitis","Northeast US",0,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0
