"","Scientific.Name","Location","Temp_Obs_Min","Temp_Obs_Mean","Temp_Obs_Max","Temp_Stress_Min","Temp_Stress_Max","Temp_Lethal_Min","Temp_Lethal_Mean","Temp_Lethal_Max","temp_threshold","Salinity_Obs_Min","Salinity_Obs_Mean","Salinity_Obs_Max","Salinity_Stress_Min","Salinity_Stress_Max","Salinity_Lethal_Min","Salinity_Lethal_Max","sal_threshold"
"1","Alosa aestivalis","Northeast US",1,1,1,0,0,1,0,1,2,2,0,2,1,1,0,2,3
"2","Alosa pseudoharengus","Northeast US",2,0,2,0,0,1,0,1,3,2,0,2,0,0,0,2,2
"3","Alosa pseudoharengus","Other",2,0,2,2,0,3,0,2,4,0,0,0,0,0,0,0,0
"4","Alosa sapidissima","China",0,0,1,0,1,0,0,0,1,2,0,2,1,1,1,1,3
"5","Alosa sapidissima","Northeast US",0,1,0,2,0,3,1,3,4,0,0,0,1,1,0,1,2
"6","Amblyraja radiata","Canada",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"7","Amblyraja radiata","Europe",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"8","Amblyraja radiata","Northeast US",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"9","Anarhichas lupus","Canada",2,0,2,0,0,0,0,0,2,3,0,3,0,0,0,1,3
"10","Anarhichas lupus","Europe",2,1,2,1,2,0,0,1,4,0,0,0,0,0,0,0,0
"11","Anguilla rostrata","Canada",1,2,0,1,0,0,0,0,3,1,0,0,0,0,0,0,1
"12","Anguilla rostrata","Central America",1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"13","Anguilla rostrata","Europe",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"14","Anguilla rostrata","Northeast US",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"15","Arctica islandica","Northeast US",2,1,1,1,1,0,0,0,2,2,0,1,0,0,0,0,2
"16","Brevoortia tyrannus","Northeast US",1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0
"17","Brevoortia tyrannus","Southeast US",0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
"18","Centropristis striata","China",0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"19","Centropristis striata","Northeast US",6,5,3,1,1,3,0,2,9,6,3,3,1,1,1,0,7
"20","Centropristis striata","Southeast US",1,0,1,0,0,1,0,1,2,1,0,1,0,0,2,0,2
"21","Chpea harengus L.","Europe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Clupea harengus","Europe",2,2,2,1,0,0,0,1,3,0,0,0,0,0,0,0,0
"23","Cynoscion nebulosas","Southeast US",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
"24","Cynoscion nebulosus","Northeast US",1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1
"25","Cynoscion nebulosus","Southeast US",3,0,3,3,0,1,0,1,5,2,1,1,3,2,3,2,6
"26","Cynoscion regalis","Northeast US",2,0,2,1,1,2,0,0,3,1,1,2,0,0,0,0,2
"27","Dipturus laevis","Canada",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"28","Dipturus laevis","Northeast US",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"29","Gadus morhua","Canada",2,3,2,4,4,1,2,2,8,1,0,1,0,0,0,0,1
"30","Gadus morhua","Europe",10,4,10,1,4,1,1,4,15,0,0,0,0,0,0,0,0
"31","Gadus morhua","Northeast US",1,2,2,0,0,1,0,0,2,1,0,1,1,0,0,0,2
"32","Gadus morhua L.","Europe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Glyptocephalus cynoglossus","Canada",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"34","Glyptocephalus cynoglossus","Europe",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"35","Glyptocephalus cynoglossus","Northeast US",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"36","Hippoglossoides platessoides","Canada",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"37","Hippoglossoides platessoides","Europe",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"38","Hippoglossus hippoglossus","Canada",1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,2
"39","Hippoglossus hippoglossus","Europe",1,2,2,1,0,0,0,0,3,1,0,1,1,0,0,0,1
"40","Hippoglossus hippoglossus L.","Europe",4,4,4,0,2,0,0,1,7,1,0,2,0,0,0,1,2
"41","Hippogloussus hippoglossus","Europe",1,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0
"42","Homarus americanus","Canada",1,0,1,0,1,1,0,2,3,0,0,0,0,0,1,0,1
"43","Homarus americanus","Northeast US",4,1,5,1,4,3,1,4,10,1,0,1,0,0,0,1,1
"44","Illex illecebrosus","Canada",1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
