"","Scientific.Name","Age.Group","Temp_Obs_Min","Temp_Obs_Mean","Temp_Obs_Max","Temp_Stress_Min","Temp_Stress_Max","Temp_Lethal_Min","Temp_Lethal_Mean","Temp_Lethal_Max","temp_threshold","Salinity_Obs_Min","Salinity_Obs_Mean","Salinity_Obs_Max","Salinity_Stress_Min","Salinity_Stress_Max","Salinity_Lethal_Min","Salinity_Lethal_Max","sal_threshold"
"88","Paralichthys dentatus","Juvenile",2,0,2,0,1,1,0,1,3,0,0,0,0,0,0,0,0
"89","Paralichthys dentatus","Larval",1,1,1,0,0,1,0,0,2,2,0,2,0,0,0,0,2
"90","Placopecten magellanicus","Adult",1,0,3,2,0,1,0,1,4,0,0,0,1,1,1,0,1
"91","Placopecten magellanicus","Juvenile",2,1,3,0,1,1,0,0,3,2,0,1,0,0,0,0,2
"92","Pleuronectes americanus","Adult",1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1
"93","Pleuronectes americanus","Juvenile",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"94","Pleuronectes americanus)","Adult",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"95","Pollachius virens","Adult",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"96","Pomatomus saltatrix","Adult",0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1
"97","Pseudopleuronectes americanus","Adult",2,0,2,2,2,0,0,1,3,0,0,0,0,0,0,0,0
"98","Pseudopleuronectes americanus","Egg",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
"99","Pseudopleuronectes americanus","Juvenile",1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"100","Pseudopleuronectes americanus","Larval",0,1,0,0,0,0,0,0,1,2,0,2,0,0,0,0,2
"101","Pseudopleuronectes americanus and Stenotomus chrysops, L.","Juvenile",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"102","Raja eglanteria","Adult",1,1,1,0,0,0,0,0,2,1,0,1,0,0,0,0,1
"103","Salmo salar","Adult",2,1,2,2,2,0,1,4,8,0,1,0,0,1,0,0,1
"104","Salmo salar","Egg",0,0,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0
"105","Salmo salar","Juvenile",3,1,4,4,4,2,0,5,12,0,1,0,0,0,0,0,1
"106","Salmo salar","Larval",0,1,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0
"107","Sciaenops ocellata","Egg",0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
"108","Sciaenops ocellatus","Adult",2,1,1,0,1,1,0,1,3,0,0,0,0,0,0,0,0
"109","Sciaenops ocellatus","Juvenile",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"110","Sciaenops ocellatus","Larval",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"111","Sciaenops octellatus","Juvenile",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"112","Scomber scombrus","Adult",3,1,3,1,1,0,0,0,4,0,0,0,0,0,0,0,0
"113","Scomber scombrus","Egg",2,1,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0
"114","Scomber scombrus","Larval",2,0,2,0,0,1,0,1,2,0,0,0,0,0,0,0,0
"115","Scophthalmus aquosus","Juvenile",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"116","Scophthalmus aquosus","Larval",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"117","Spisula solidissima","Adult",2,1,3,3,2,1,0,0,6,1,0,1,0,0,0,0,1
"118","Spisula solidissima","Juvenile",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"119","Spisula solidissima","Larval",1,2,1,0,0,1,0,1,3,0,1,0,0,0,0,0,1
"120","Squalus acanthias","Adult",6,3,6,1,1,0,0,0,8,2,1,2,0,0,0,0,2
"121","Squalus acanthias","Juvenile",2,1,1,1,1,0,0,1,3,1,1,1,0,0,0,0,1
"122","Squalus acanthias","Larval",1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1
"123","Stenotomus chrysops, L.","Juvenile",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"124","Tautoga onitis","Adult",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"125","Tautoga onitis","Larval",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
