V1,V2,V3
-82,48,405.627227783203
-81.9666160849772,48,395.837249755859
-81.9332321699545,48,385.047241210938
-81.8998482549317,48,383.067230224609
-81.866464339909,48,373.811767578125
-81.8330804248862,48,376.481781005859
-81.7996965098634,48,370.771789550781
-81.7663125948407,48,371.051788330078
-81.7329286798179,48,371.261779785156
-81.6995447647951,48,380.591796875
-81.6661608497724,48,362.121795654297
-81.6327769347496,48,360.911773681641
-81.5993930197269,48,350.906005859375
-81.5660091047041,48,365.635986328125
-81.5326251896813,48,355.825988769531
-81.4992412746586,48,361.135986328125
-81.4658573596358,48,353.885986328125
-81.4324734446131,48,357.716003417969
-81.3990895295903,48,353.055999755859
-81.3657056145675,48,391.376007080078
-81.3323216995448,48,375.593048095703
-81.298937784522,48,368.113067626953
-81.2655538694992,48,364.443054199219
-81.2321699544765,48,359.363067626953
-81.1987860394537,48,351.573059082031
-81.165402124431,48,349.173065185547
-81.1320182094082,48,352.883056640625
-81.0986342943854,48,359.203063964844
-81.0652503793627,48,360.796478271484
-81.0318664643399,48,390.026458740234
-80.9984825493171,48,422.856475830078
-80.9650986342944,48,366.846466064453
-80.9317147192716,48,358.326477050781
-80.8983308042489,48,374.636474609375
-80.8649468892261,48,427.206481933594
-80.8315629742033,48,410.906463623047
-80.7981790591806,48,365.3642578125
-80.7647951441578,48,342.604278564453
-80.731411229135,48,364.224273681641
-80.6980273141123,48,341.844268798828
-80.6646433990895,48,330.194274902344
-80.6312594840668,48,342.914276123047
-80.597875569044,48,357.984252929688
-80.5644916540212,48,370.984252929688
-80.5311077389985,48,346.770263671875
-80.4977238239757,48,336.320281982422
-80.464339908953,48,326.430267333984
-80.4309559939302,48,326.240264892578
-80.3975720789074,48,313.070281982422
-80.3641881638847,48,296.250274658203
-80.3308042488619,48,302.570281982422
-80.2974203338392,48,311.200286865234
-80.2640364188164,48,310.40576171875
-80.2306525037936,48,305.645782470703
-80.1972685887709,48,306.915771484375
-80.1638846737481,48,308.605773925781
-80.1305007587253,48,294.665771484375
-80.0971168437026,48,304.765777587891
-80.0637329286798,48,293.235778808594
-80.0303490136571,48,274.225769042969
-79.9969650986343,48,272.54248046875
-79.9635811836115,48,274.462493896484
-79.9301972685888,48,276.262481689453
-79.896813353566,48,289.052490234375
-79.8634294385432,48,295.902496337891
-79.8300455235205,48,301.152496337891
-79.7966616084977,48,308.072479248047
-79.763277693475,48,303.932495117188
-79.7298937784522,48,300.315032958984
-79.6965098634294,48,311.905059814453
-79.6631259484067,48,300.355041503906
-79.6297420333839,48,265.055053710938
-79.5963581183612,48,304.495056152344
-79.5629742033384,48,340.925048828125
-79.5295902883156,48,298.4150390625
-79.4962063732929,48,299.18505859375
-79.4628224582701,48,311.184997558594
-79.4294385432473,48,317.025024414062
-79.3960546282246,48,320.015014648438
-79.3626707132018,48,331.285003662109
-79.3292867981791,48,300.785003662109
-79.2959028831563,48,288.805023193359
-79.2625189681335,48,291.265014648438
-79.2291350531108,48,292.815002441406
-79.195751138088,48,292.516876220703
-79.1623672230652,48,294.016876220703
-79.1289833080425,48,274.726898193359
-79.0955993930197,48,277.786895751953
-79.062215477997,48,300.706878662109
-79.0288315629742,48,316.116882324219
-78.9954476479514,48,308.606903076172
-78.9620637329287,48,301.276885986328
-78.9286798179059,48,291.800994873047
-78.8952959028832,48,300.641021728516
-78.8619119878604,48,301.381011962891
-78.8285280728376,48,296.601013183594
-78.7951441578149,48,303.050994873047
-78.7617602427921,48,307.680999755859
-78.7283763277694,48,298.381011962891
-78.6949924127466,48,285.061004638672
-78.6616084977238,48,302.097351074219
-78.6282245827011,48,307.647338867188
-78.5948406676783,48,321.617340087891
-78.5614567526555,48,320.77734375
-78.5280728376328,48,312.227355957031
-78.49468892261,48,313.857360839844
-78.4613050075873,48,302.827331542969
-78.4279210925645,48,309.957336425781
-78.3945371775417,48,323.394561767578
-78.361153262519,48,344.564575195312
-78.3277693474962,48,347.644561767578
-78.2943854324734,48,359.114562988281
-78.2610015174507,48,344.41455078125
-78.2276176024279,48,338.294555664062
