"Provided","binomial","common","combined","Species","SPECIES_ITIS","COMMON_NAME"
"Merluccius bilinearis (Silver hake)","merluccius bilinearis","silver hake","""merluccius bilinearis"" OR ""silver hake""","Merluccius bilinearis (Silver hake)","164791","HAKE,SILVER (WHITING)"
"Urophycis chuss (Red hake)","urophycis chuss","red hake","""urophycis chuss"" OR ""red hake""","Urophycis chuss (Red hake)","164730","HAKE,ATLANTIC,RED"
"Mercluccius albidus (Offshore hake)","mercluccius albidus","offshore hake","""mercluccius albidus"" OR ""offshore hake""","Mercluccius albidus (Offshore hake)",NA,NA
"Squalus acanthias (Spiny dogfish)","squalus acanthias","spiny dogfish","""squalus acanthias"" OR ""spiny dogfish""","Squalus acanthias (Spiny dogfish)","160617","DOGFISH,SPINY"
"Salmo salar (Atlantic salmon)","salmo salar","atlantic salmon","""salmo salar"" OR ""atlantic salmon""","Salmo salar (Atlantic salmon)","161996","SALMON,ATLANTIC"
"Paralichthys dentatus (Summer flounder)","paralichthys dentatus","summer flounder","""paralichthys dentatus"" OR ""summer flounder""","Paralichthys dentatus (Summer flounder)","172735","FLOUNDER,SUMMER (FLUKE)"
"Stenotomus chrysops (Scup)","stenotomus chrysops","scup","""stenotomus chrysops"" OR ""scup""","Stenotomus chrysops (Scup)","169182","SCUP"
"Centropristis striata (Black sea bass, Black seabass)","centropristis striata","black sea bass, black seabass","""centropristis striata"" OR ""black sea bass"" OR ""black seabass""","Centropristis striata (Black sea bass, Black seabass)","167687","SEA BASS,BLACK"
"Scomber scombrus (Atlantic mackerel)","scomber scombrus","atlantic mackerel","""scomber scombrus"" OR ""atlantic mackerel""","Scomber scombrus (Atlantic mackerel)","172414","MACKEREL,ATLANTIC"
"Peprilus triacanthus (Butterfish, Atlantic butterfish)","peprilus triacanthus","butterfish, atlantic butterfish","""peprilus triacanthus"" OR ""butterfish"" OR ""atlantic butterfish""","Peprilus triacanthus (Butterfish, Atlantic butterfish)","172567","BUTTERFISH"
"Doryteuthis pealeii (Longfin squid, Longfin inshore squid)","doryteuthis pealeii","longfin squid, longfin inshore squid","""doryteuthis pealeii"" OR ""longfin squid"" OR ""longfin inshore squid""","Doryteuthis pealeii (Longfin squid, Longfin inshore squid)",NA,NA
"Illex illecebrosus (Illex shortfin squid)","illex illecebrosus","illex shortfin squid","""illex illecebrosus"" OR ""illex shortfin squid""","Illex illecebrosus (Illex shortfin squid)","082521","SQUID,SHORT FINNED (ILLEX)"
