COMNAME,tmin,tmax,source,scenario_id
SMOOTH SKATE,5,9.36,Survey_10_90,SMOOTH SKATE_Survey_10_90
SPINY DOGFISH,5,15.6,Lit_Opt_1,SPINY DOGFISH_Lit_Opt_1
SPINY DOGFISH,5.2,14.9,Lit_Opt_2,SPINY DOGFISH_Lit_Opt_2
SPINY DOGFISH,6,21,Lit_Opt_3,SPINY DOGFISH_Lit_Opt_3
SPINY DOGFISH,21,23,Lit_Stress_1,SPINY DOGFISH_Lit_Stress_1
THORNY SKATE,1.3,24.5,Survey_0_100,THORNY SKATE_Survey_0_100
THORNY SKATE,4.4,9.700000000000001,Survey_10_90,THORNY SKATE_Survey_10_90
WEAKFISH,7.9,29,Lit_Stress_1,WEAKFISH_Lit_Stress_1
WHITE HAKE,1.3,20.7,Survey_0_100,WHITE HAKE_Survey_0_100
WHITE HAKE,5.3,11.09,Survey_10_90,WHITE HAKE_Survey_10_90
WINDOWPANE,0,27.7,Survey_0_100,WINDOWPANE_Survey_0_100
WINDOWPANE,4.37,19.16,Survey_10_90,WINDOWPANE_Survey_10_90
WINTER FLOUNDER,5,15,Lit_Opt_1,WINTER FLOUNDER_Lit_Opt_1
WINTER FLOUNDER,22,37,Lit_Stress_1,WINTER FLOUNDER_Lit_Stress_1
WINTER FLOUNDER,1.23,23.6,Survey_0_100,WINTER FLOUNDER_Survey_0_100
WINTER FLOUNDER,3.9,14.506999999999998,Survey_10_90,WINTER FLOUNDER_Survey_10_90
WINTER SKATE,0,23.6,Survey_0_100,WINTER SKATE_Survey_0_100
WINTER SKATE,4.272000000000001,15.200000000000001,Survey_10_90,WINTER SKATE_Survey_10_90
WITCH FLOUNDER,0,19.1,Survey_0_100,WITCH FLOUNDER_Survey_0_100
WITCH FLOUNDER,4.79,10.370000000000001,Survey_10_90,WITCH FLOUNDER_Survey_10_90
YELLOWTAIL FLOUNDER,0,19.6,Survey_0_100,YELLOWTAIL FLOUNDER_Survey_0_100
YELLOWTAIL FLOUNDER,4.08,12.8,Survey_10_90,YELLOWTAIL FLOUNDER_Survey_10_90
