common.name,age.group,effect.type,tmin,tmax,opt.temp.min,opt.temp.mean,opt.temp.max,stress.temp.min,stress.temp.max,lethal.temp.min,lethal.temp.max,diff_opt_min_from_survey_min,diff_opt_max_from_survey_max,diff_stress_min_from_survey_min,diff_stress_max_from_survey_max,diff_lethal_min_from_survey_min,diff_lethal_max_from_survey_max
ALEWIFE,Adult,Growth,4.2,10.932000000000006,10,NA,27,NA,NA,NA,NA,5.8,16.067999999999994,NA,NA,NA,NA
ALEWIFE,Adult,Survival,4.2,10.932000000000006,NA,NA,NA,NA,NA,31,34,NA,NA,NA,NA,26.8,23.067999999999994
ALEWIFE,Adult,Survival,4.2,10.932000000000006,11,NA,21,NA,NA,8,33.4,6.8,10.067999999999994,NA,NA,3.8,22.467999999999993
ALEWIFE,Adult,NA,4.2,10.932000000000006,NA,NA,NA,5,NA,4,NA,NA,NA,0.7999999999999998,NA,-0.20000000000000018,NA
AMERICAN EEL,Adult,Behavioural,7.5200000000000005,19.800000000000004,15,NA,NA,NA,NA,NA,NA,7.4799999999999995,NA,NA,NA,NA,NA
AMERICAN EEL,Adult,Metabolic,7.5200000000000005,19.800000000000004,NA,15,NA,5,NA,NA,NA,NA,NA,-2.5200000000000005,NA,NA,NA
AMERICAN EEL,Adult,Growth,7.5200000000000005,19.800000000000004,NA,16.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMERICAN EEL,Adult,Behavioural,7.5200000000000005,19.800000000000004,NA,16.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMERICAN EEL,Adult,Survival,7.5200000000000005,19.800000000000004,20,NA,28,NA,NA,0,38,12.48,8.199999999999996,NA,NA,-7.5200000000000005,18.199999999999996
AMERICAN PLAICE,Adult,Multiple,4.2,9.51,NA,NA,NA,-1.4,NA,NA,NA,NA,NA,-5.6,NA,NA,NA
AMERICAN PLAICE,Adult,Growth,4.2,9.51,NA,6.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AMERICAN SHAD,Adult,Metabolic,4.59,12.073000000000002,NA,NA,24,NA,30,NA,NA,NA,11.926999999999998,NA,17.927,NA,NA
ATLANTIC COD,Adult,Habitat,4.291000000000001,11.36,0.5,NA,4.5,-0.5,8.5,NA,NA,-3.7910000000000013,-6.859999999999999,-4.791000000000001,-2.8599999999999994,NA,NA
ATLANTIC COD,Adult,Multiple,4.291000000000001,11.36,NA,10,NA,21.4,23,NA,NA,NA,NA,17.108999999999998,11.64,NA,NA
ATLANTIC COD,Adult,Habitat,4.291000000000001,11.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATLANTIC COD,Adult,Survival,4.291000000000001,11.36,NA,NA,NA,NA,NA,NA,25.96,NA,NA,NA,NA,NA,14.600000000000001
ATLANTIC COD,Adult,Survival,4.291000000000001,11.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATLANTIC COD,Adult,Multiple,4.291000000000001,11.36,NA,7,NA,3,11,NA,NA,NA,NA,-1.2910000000000013,-0.35999999999999943,NA,NA
ATLANTIC COD,Adult,Survival,4.291000000000001,11.36,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,12.64
ATLANTIC COD,Adult,Metabolic,4.291000000000001,11.36,-1.5,10,19,NA,NA,NA,NA,-5.791000000000001,7.640000000000001,NA,NA,NA,NA
ATLANTIC COD,Adult,Metabolic,4.291000000000001,11.36,2,NA,16,NA,16,NA,NA,-2.2910000000000013,4.640000000000001,NA,4.640000000000001,NA,NA
ATLANTIC COD,Adult,Reproduction,4.291000000000001,11.36,3,NA,7,NA,NA,NA,NA,-1.2910000000000013,-4.359999999999999,NA,NA,NA,NA
