common.name,age.group,effect.type,tmin,tmax,opt.temp.min,opt.temp.mean,opt.temp.max,stress.temp.min,stress.temp.max,lethal.temp.min,lethal.temp.max,diff_opt_min_from_survey_min,diff_opt_max_from_survey_max,diff_stress_min_from_survey_min,diff_stress_max_from_survey_max,diff_lethal_min_from_survey_min,diff_lethal_max_from_survey_max
ATLANTIC COD,Adult,Habitat,4.291000000000001,11.36,3,NA,7,NA,NA,NA,NA,-1.2910000000000013,-4.359999999999999,NA,NA,NA,NA
ATLANTIC COD,Adult,Disease,4.291000000000001,11.36,6,NA,11,NA,15,NA,20,1.7089999999999987,-0.35999999999999943,NA,3.6400000000000006,NA,8.64
ATLANTIC COD,Adult,Multiple,4.291000000000001,11.36,10,NA,12,NA,NA,NA,NA,5.708999999999999,0.6400000000000006,NA,NA,NA,NA
ATLANTIC COD,Adult,Multiple,4.291000000000001,11.36,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATLANTIC COD,Adult,Survival,4.291000000000001,11.36,NA,NA,NA,-1.5,20,NA,NA,NA,NA,-5.791000000000001,8.64,NA,NA
ATLANTIC COD,Adult,Growth,4.291000000000001,11.36,NA,7.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATLANTIC COD,Adult,Behavioural,4.291000000000001,11.36,4,7,13.3,NA,NA,NA,NA,-0.29100000000000126,1.9400000000000013,NA,NA,NA,NA
ATLANTIC CROAKER,Adult,Behavioural,13.497,25.173000000000005,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATLANTIC CROAKER,Adult,Metabolic,13.497,25.173000000000005,10,30,NA,NA,NA,NA,NA,-3.497,NA,NA,NA,NA,NA
ATLANTIC CROAKER,Adult,Multiple,13.497,25.173000000000005,NA,NA,NA,NA,NA,NA,35.2,NA,NA,NA,NA,NA,10.026999999999997
ATLANTIC CROAKER,Adult,Habitat,13.497,25.173000000000005,9,NA,31.4,NA,NA,NA,NA,-4.497,6.226999999999993,NA,NA,NA,NA
ATLANTIC HALIBUT,Adult,Growth,4.2,10.612,NA,4.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATLANTIC HERRING,Adult,Growth,4.25,10.4,NA,4.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATLANTIC MACKEREL,Adult,Habitat,5.34,12.8,7.5,NA,13,NA,NA,NA,NA,2.16,0.1999999999999993,NA,NA,NA,NA
ATLANTIC MACKEREL,Adult,Habitat,5.34,12.8,9,NA,13,NA,NA,NA,NA,3.66,0.1999999999999993,NA,NA,NA,NA
ATLANTIC MACKEREL,Adult,Habitat,5.34,12.8,9,NA,13,5,15,NA,NA,3.66,0.1999999999999993,-0.33999999999999986,2.1999999999999993,NA,NA
ATLANTIC MACKEREL,Adult,Growth,5.34,12.8,NA,12.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATLANTIC SALMON,Adult,Survival,8.700000000000001,8.700000000000001,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,16.299999999999997
ATLANTIC SALMON,Adult,Metabolic,8.700000000000001,8.700000000000001,NA,NA,NA,NA,NA,NA,26.5,NA,NA,NA,NA,NA,17.799999999999997
ATLANTIC SALMON,Adult,Survival,8.700000000000001,8.700000000000001,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,19.299999999999997
ATLANTIC SALMON,Adult,Stress,8.700000000000001,8.700000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATLANTIC SALMON,Adult,Behavioural,8.700000000000001,8.700000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATLANTIC SALMON,Adult,Survival,8.700000000000001,8.700000000000001,NA,NA,NA,18,NA,NA,NA,NA,NA,9.299999999999999,NA,NA,NA
ATLANTIC SALMON,Adult,Growth,8.700000000000001,8.700000000000001,NA,6.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ATLANTIC SALMON,Adult,Habitat,8.700000000000001,8.700000000000001,14,NA,18,16,20,NA,NA,5.299999999999999,9.299999999999999,7.299999999999999,11.299999999999999,NA,NA
ATLANTIC SALMON,Adult,Growth,8.700000000000001,8.700000000000001,12,NA,18,NA,20,NA,22,3.299999999999999,9.299999999999999,NA,11.299999999999999,NA,13.299999999999999
ATLANTIC SURFCLAM,Adult,Reproduction,6.496,19.1,8,NA,20,6,24,NA,NA,1.5039999999999996,0.8999999999999986,-0.49600000000000044,4.899999999999999,NA,NA
ATLANTIC SURFCLAM,Adult,Survival,6.496,19.1,16,NA,22,23,NA,NA,NA,9.504,2.8999999999999986,16.503999999999998,NA,NA,NA
ATLANTIC SURFCLAM,Adult,Stress,6.496,19.1,NA,NA,NA,23,NA,NA,NA,NA,NA,16.503999999999998,NA,NA,NA
ATLANTIC SURFCLAM,Adult,Growth,6.496,19.1,NA,NA,20,NA,NA,NA,NA,NA,0.8999999999999986,NA,NA,NA,NA
ATLANTIC SURFCLAM,Adult,Stress,6.496,19.1,NA,NA,NA,NA,29,29,NA,NA,NA,NA,9.899999999999999,22.503999999999998,NA
BARNDOOR SKATE,Adult,Habitat,5.817,13.68,0.5,NA,10.9,NA,NA,NA,NA,-5.317,-2.7799999999999994,NA,NA,NA,NA
BARNDOOR SKATE,Adult,Habitat,5.817,13.68,NA,7.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLACK SEA BASS,Adult,Reproduction,8.613,21.57,7.9,12.5,15.7,NA,NA,NA,NA,-0.7129999999999992,-5.870000000000001,NA,NA,NA,NA
BLACK SEA BASS,Adult,Metabolic,8.613,21.57,NA,NA,24.4,NA,NA,NA,NA,NA,2.8299999999999983,NA,NA,NA,NA
BLACK SEA BASS,Adult,Growth,8.613,21.57,22,NA,27,NA,NA,NA,NA,13.387,5.43,NA,NA,NA,NA
BLUEFISH,Adult,Behavioural,12.6,23.295,NA,NA,NA,11,27,NA,NA,NA,NA,-1.5999999999999996,3.7049999999999983,NA,NA
CLEARNOSE SKATE,Adult,Habitat,7.368,22.6,NA,12.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLEARNOSE SKATE,Adult,NA,7.368,22.6,19,NA,27,NA,NA,NA,NA,11.632,4.399999999999999,NA,NA,NA,NA
HADDOCK,Adult,Multiple,4.64,11.27300000000001,NA,NA,NA,23.9,NA,NA,NA,NA,NA,19.259999999999998,NA,NA,NA
HADDOCK,Adult,Reproduction,4.64,11.27300000000001,5,7,NA,NA,NA,NA,NA,0.3600000000000003,NA,NA,NA,NA,NA
HADDOCK,Adult,Growth,4.64,11.27300000000001,NA,8.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HADDOCK,Adult,Reproduction,4.64,11.27300000000001,4,5.3,7,10,NA,NA,NA,-0.6399999999999997,-4.27300000000001,5.36,NA,NA,NA
LITTLE SKATE,Adult,Habitat,4.6000000000000005,16.9,NA,8.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OFFSHORE HAKE,Adult,Multiple,7.354000000000001,12.946000000000002,11,NA,13,NA,NA,NA,NA,3.645999999999999,0.053999999999998494,NA,NA,NA,NA
POLLOCK,Adult,Growth,4.5,10.6,NA,8.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROSETTE SKATE,Adult,Habitat,9.14,14.33,NA,11.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SEA SCALLOP,Adult,Survival,4.9,13.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SMOOTH SKATE,Adult,Habitat,5,9.36,NA,6.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPINY DOGFISH,Adult,Habitat,5.4,13.5,6.62,NA,9.19,NA,NA,NA,NA,1.2199999999999998,-4.3100000000000005,NA,NA,NA,NA
SPINY DOGFISH,Adult,Growth,5.4,13.5,NA,13.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPINY DOGFISH,Adult,Habitat,5.4,13.5,5,9.9,15.6,NA,NA,NA,NA,-0.40000000000000036,2.0999999999999996,NA,NA,NA,NA
SPINY DOGFISH,Adult,Habitat,5.4,13.5,5.2,NA,14.9,NA,NA,NA,NA,-0.20000000000000018,1.4000000000000004,NA,NA,NA,NA
SPINY DOGFISH,Adult,Habitat,5.4,13.5,6,10,21,NA,NA,NA,NA,0.5999999999999996,7.5,NA,NA,NA,NA
SPINY DOGFISH,Adult,Stress,5.4,13.5,NA,NA,NA,21,23,NA,NA,NA,NA,15.6,9.5,NA,NA
SPINY DOGFISH,Adult,Habitat,5.4,13.5,6,NA,14,NA,NA,NA,NA,0.5999999999999996,0.5,NA,NA,NA,NA
SPINY DOGFISH,Adult,Habitat,5.4,13.5,10.4,NA,15.7,NA,NA,NA,NA,5,2.1999999999999993,NA,NA,NA,NA
STRIPED BASS,Adult,NA,4.624,17.390000000000004,5,NA,35,NA,NA,NA,NA,0.37600000000000033,17.609999999999996,NA,NA,NA,NA
STRIPED BASS,Adult,Behavioural,4.624,17.390000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STRIPED BASS,Adult,Survival,4.624,17.390000000000004,NA,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,8.609999999999996
STRIPED BASS,Adult,Survival,4.624,17.390000000000004,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,12.609999999999996
TAUTOG,Adult,Behavioural,8.882000000000001,20.5,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,-10.5,NA,NA
THORNY SKATE,Adult,NA,4.3100000000000005,9.6,3,NA,NA,2,NA,NA,NA,-1.3100000000000005,NA,-2.3100000000000005,NA,NA,NA
THORNY SKATE,Adult,Growth,4.3100000000000005,9.6,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
THORNY SKATE,Adult,Habitat,4.3100000000000005,9.6,NA,6.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TILEFISH,Adult,Habitat,9.679,14.088000000000001,9,NA,14,NA,NA,NA,NA,-0.6790000000000003,-0.08800000000000097,NA,NA,NA,NA
WEAKFISH,Adult,NA,12.179,24.060000000000002,NA,NA,NA,7.9,29,3.3,NA,NA,NA,-4.279,4.939999999999998,-8.879000000000001,NA
WINTER FLOUNDER,Adult,NA,4.3,15.030000000000001,5,NA,20,25,NA,NA,NA,0.7000000000000002,4.969999999999999,20.7,NA,NA,NA
WINTER FLOUNDER,Adult,Metabolic,4.3,15.030000000000001,NA,NA,NA,14,24,NA,NA,NA,NA,9.7,8.969999999999999,NA,NA
WINTER FLOUNDER,Adult,Habitat,4.3,15.030000000000001,3,NA,16,NA,NA,27,32,-1.2999999999999998,0.9699999999999989,NA,NA,22.7,16.97
WINTER FLOUNDER,Adult,Metabolic,4.3,15.030000000000001,5,NA,15,NA,20,NA,26,0.7000000000000002,-0.030000000000001137,NA,4.969999999999999,NA,10.969999999999999
WINTER FLOUNDER,Adult,Survival,4.3,15.030000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WINTER FLOUNDER,Adult,Stress,4.3,15.030000000000001,NA,NA,NA,22,37,NA,NA,NA,NA,17.7,21.97,NA,NA
WINTER SKATE,Adult,Habitat,4.5,16.43,NA,8.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WITCH FLOUNDER,Adult,Multiple,4.7,10.213000000000003,0,NA,9,NA,NA,NA,NA,-4.7,-1.2130000000000027,NA,NA,NA,NA
WITCH FLOUNDER,Adult,Growth,4.7,10.213000000000003,NA,6.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
