species,Hot_Exclusion_Rate_Per_Decade,Inversion_Year,Year_100_Percent_Exclusion,p_val_too_hot,p_val_too_cold
SMOOTH SKATE,3.96,1987.8,2213.8,1.277914928419567e-8,9.096183247487844e-13
AMERICAN PLAICE,3.06,1950.8,2244.9,1.1205852253024418e-8,1.5496686929449026e-10
ACADIAN REDFISH,2.92,1981.6,2291,1.2782871836189995e-8,1.121641747710886e-11
SEA SCALLOP,2.41,1953.6,2295.4,1.4552458864780568e-8,1.638835515639896e-11
THORNY SKATE,2.61,1947.3,2331,9.759306536349299e-9,0.08808193680693129
POLLOCK,2.21,1962.1,2363.1,7.408700871606004e-9,1.0129849449682571e-11
WITCH FLOUNDER,2.13,1958.3,2368.6,2.857191245184059e-8,8.018979096761974e-11
OCEAN POUT,1.92,1932.5,2410.8,6.421587063562365e-8,1.0983231177252112e-9
OFFSHORE HAKE,2.14,2021.3,2413.7,1.8223407589210362e-7,2.396016130887278e-13
WHITE HAKE,1.62,1983.8,2511.6,2.178404339269588e-7,1.3983516429706041e-12
HADDOCK,1.6,1967.2,2522.7,1.8249849081804367e-7,8.096359816301034e-11
ATLANTIC COD,1.55,1901.6,2528.2,8.395562806439896e-8,2.706267834755915e-9
YELLOWTAIL FLOUNDER,1.49,1961.6,2580.6,3.496526030295257e-7,6.117098652566558e-10
RED HAKE,1.45,1980.9,2599.8,3.9616484378352655e-8,1.992973564655346e-11
ROSETTE SKATE,1.4,2041.1,2652.1,1.3458583714444437e-4,2.0789188864812007e-4
SILVER HAKE,1.22,1990.2,2738.9,7.0518960519907855e-9,1.0883615727211866e-11
BARNDOOR SKATE,1.04,2014.6,2899.4,3.0439549871471223e-6,1.3825076417693875e-11
WINTER SKATE,0.96,1987.5,2977.2,7.079324472588665e-11,3.8571370801737095e-10
CLEARNOSE SKATE,0.83,2047.6,3184.8,4.120310382206609e-11,1.758352021965686e-7
LITTLE SKATE,0.77,1995.3,3234.3,1.23857287389908e-10,1.6076423477407486e-10
WINTER FLOUNDER,0.66,1968.6,3454.2,1.6247640892995978e-10,2.774231461540764e-9
ATLANTIC HERRING,0.64,1937.8,3510.7,5.675275841237955e-12,0.02288637197424898
WINDOWPANE,0.64,2009.9,3534.3,1.532753727007156e-16,1.9012378874716335e-10
"CRAB,RED DEEPSEA",0.35,2016.6,4800,2.4164785478306454e-7,4.81586809330813e-13
ATLANTIC HALIBUT,0.04,2035.4,25603.1,0.0020483710444557965,8.55206350637666e-11
