species,year,perc_too_hot,perc_too_cold,tmin_used,tmax_used
ACADIAN REDFISH,1959,5.21,14,4.76,9.6
ACADIAN REDFISH,1960,5.16,13.49,4.76,9.6
ACADIAN REDFISH,1961,3.76,16.76,4.76,9.6
ACADIAN REDFISH,1962,5.87,16.67,4.76,9.6
ACADIAN REDFISH,1963,5.63,8.67,4.76,9.6
ACADIAN REDFISH,1964,3.8,10.4,4.76,9.6
ACADIAN REDFISH,1965,3.28,15.91,4.76,9.6
ACADIAN REDFISH,1966,4.12,13.48,4.76,9.6
ACADIAN REDFISH,1967,4.81,15.27,4.76,9.6
ACADIAN REDFISH,1968,5.53,20.34,4.76,9.6
ACADIAN REDFISH,1969,7.73,23.34,4.76,9.6
ACADIAN REDFISH,1970,8.44,8.65,4.76,9.6
ACADIAN REDFISH,1971,7.09,13.55,4.76,9.6
ACADIAN REDFISH,1972,8.14,9.95,4.76,9.6
ACADIAN REDFISH,1973,7.52,12.3,4.76,9.6
ACADIAN REDFISH,1974,15.7,4.59,4.76,9.6
ACADIAN REDFISH,1975,16.35,2.97,4.76,9.6
ACADIAN REDFISH,1976,17.69,2.4,4.76,9.6
ACADIAN REDFISH,1977,11.74,10.32,4.76,9.6
ACADIAN REDFISH,1978,10.19,9.25,4.76,9.6
ACADIAN REDFISH,1979,6.46,13.93,4.76,9.6
ACADIAN REDFISH,1980,12.52,11.43,4.76,9.6
ACADIAN REDFISH,1981,10.19,13.43,4.76,9.6
ACADIAN REDFISH,1982,8,12.1,4.76,9.6
ACADIAN REDFISH,1983,8.86,7.39,4.76,9.6
ACADIAN REDFISH,1984,9.25,6.12,4.76,9.6
ACADIAN REDFISH,1985,15.79,3.68,4.76,9.6
ACADIAN REDFISH,1986,12.65,3.61,4.76,9.6
ACADIAN REDFISH,1987,7.42,12.3,4.76,9.6
ACADIAN REDFISH,1988,6.59,6.37,4.76,9.6
ACADIAN REDFISH,1989,8.5,11.84,4.76,9.6
ACADIAN REDFISH,1990,10.73,6.28,4.76,9.6
ACADIAN REDFISH,1991,17.22,1.8,4.76,9.6
ACADIAN REDFISH,1992,7.35,14.58,4.76,9.6
ACADIAN REDFISH,1993,10.41,11.07,4.76,9.6
ACADIAN REDFISH,1994,12.67,4.03,4.76,9.6
ACADIAN REDFISH,1995,9.94,3.96,4.76,9.6
ACADIAN REDFISH,1996,1.94,4.85,4.76,9.6
ACADIAN REDFISH,1997,7.93,3.1,4.76,9.6
ACADIAN REDFISH,1998,3.92,5.4,4.76,9.6
ACADIAN REDFISH,1999,15.66,2.92,4.76,9.6
ACADIAN REDFISH,2000,10.54,0.88,4.76,9.6
ACADIAN REDFISH,2001,8.21,3.96,4.76,9.6
ACADIAN REDFISH,2002,11.76,0.47,4.76,9.6
ACADIAN REDFISH,2003,8.69,9.5,4.76,9.6
ACADIAN REDFISH,2004,4.42,15.9,4.76,9.6
ACADIAN REDFISH,2005,6.54,10.35,4.76,9.6
ACADIAN REDFISH,2006,10.25,1.55,4.76,9.6
ACADIAN REDFISH,2007,3.79,6.35,4.76,9.6
ACADIAN REDFISH,2008,7.02,3.32,4.76,9.6
ACADIAN REDFISH,2009,12.61,7.47,4.76,9.6
