species,year,perc_too_hot,perc_too_cold,tmin_used,tmax_used
ACADIAN REDFISH,2010,15.79,2.11,4.76,9.6
ACADIAN REDFISH,2011,9.45,1.65,4.76,9.6
ACADIAN REDFISH,2012,19.77,0.22,4.76,9.6
ACADIAN REDFISH,2013,22.96,0.86,4.76,9.6
ACADIAN REDFISH,2014,26.66,2.78,4.76,9.6
ACADIAN REDFISH,2015,27.8,3.56,4.76,9.6
ACADIAN REDFISH,2016,26.92,0.21,4.76,9.6
ACADIAN REDFISH,2017,21.1,2.5,4.76,9.6
ACADIAN REDFISH,2018,28.61,0.77,4.76,9.6
ACADIAN REDFISH,2019,37.71,2.41,4.76,9.6
ACADIAN REDFISH,2020,30.18,0.5,4.76,9.6
ACADIAN REDFISH,2021,40.92,0,4.76,9.6
ACADIAN REDFISH,2022,30.18,0.37,4.76,9.6
ACADIAN REDFISH,2023,31.16,1.08,4.76,9.6
ACADIAN REDFISH,2024,4.03,5.84,4.76,9.6
AMERICAN PLAICE,1959,13.9,8.26,4.28,9.511000000000005
AMERICAN PLAICE,1960,15.14,6.88,4.28,9.511000000000005
AMERICAN PLAICE,1961,13.01,9.97,4.28,9.511000000000005
AMERICAN PLAICE,1962,16.47,8.98,4.28,9.511000000000005
AMERICAN PLAICE,1963,15.61,5,4.28,9.511000000000005
AMERICAN PLAICE,1964,12.08,6.69,4.28,9.511000000000005
AMERICAN PLAICE,1965,11.47,12.89,4.28,9.511000000000005
AMERICAN PLAICE,1966,11.78,9.54,4.28,9.511000000000005
AMERICAN PLAICE,1967,12.96,9.93,4.28,9.511000000000005
AMERICAN PLAICE,1968,12.98,13.74,4.28,9.511000000000005
AMERICAN PLAICE,1969,18.22,13.58,4.28,9.511000000000005
AMERICAN PLAICE,1970,16.8,5.46,4.28,9.511000000000005
AMERICAN PLAICE,1971,15.88,8.53,4.28,9.511000000000005
AMERICAN PLAICE,1972,19.14,5.27,4.28,9.511000000000005
AMERICAN PLAICE,1973,18.47,7.27,4.28,9.511000000000005
AMERICAN PLAICE,1974,26.93,2.28,4.28,9.511000000000005
AMERICAN PLAICE,1975,26.97,1.68,4.28,9.511000000000005
AMERICAN PLAICE,1976,27.48,1.61,4.28,9.511000000000005
AMERICAN PLAICE,1977,21.55,7.49,4.28,9.511000000000005
AMERICAN PLAICE,1978,20.37,5.38,4.28,9.511000000000005
AMERICAN PLAICE,1979,15.71,9.47,4.28,9.511000000000005
AMERICAN PLAICE,1980,20.42,7.4,4.28,9.511000000000005
AMERICAN PLAICE,1981,18.77,7.8,4.28,9.511000000000005
AMERICAN PLAICE,1982,18.95,7.38,4.28,9.511000000000005
AMERICAN PLAICE,1983,20.34,4.01,4.28,9.511000000000005
AMERICAN PLAICE,1984,18.06,3.94,4.28,9.511000000000005
AMERICAN PLAICE,1985,27.25,2.02,4.28,9.511000000000005
AMERICAN PLAICE,1986,25.56,1.98,4.28,9.511000000000005
AMERICAN PLAICE,1987,18.62,8.65,4.28,9.511000000000005
AMERICAN PLAICE,1988,16.86,4.62,4.28,9.511000000000005
AMERICAN PLAICE,1989,19.21,7.78,4.28,9.511000000000005
AMERICAN PLAICE,1990,22.35,2.9,4.28,9.511000000000005
AMERICAN PLAICE,1991,28.81,0.84,4.28,9.511000000000005
AMERICAN PLAICE,1992,18.57,6.93,4.28,9.511000000000005
AMERICAN PLAICE,1993,19.84,7.76,4.28,9.511000000000005
AMERICAN PLAICE,1994,24.59,3.84,4.28,9.511000000000005
AMERICAN PLAICE,1995,21.2,2.09,4.28,9.511000000000005
AMERICAN PLAICE,1996,8.53,3.26,4.28,9.511000000000005
AMERICAN PLAICE,1997,18.55,1.32,4.28,9.511000000000005
AMERICAN PLAICE,1998,12.01,2.24,4.28,9.511000000000005
AMERICAN PLAICE,1999,28.27,1.2,4.28,9.511000000000005
AMERICAN PLAICE,2000,23.63,0.54,4.28,9.511000000000005
AMERICAN PLAICE,2001,21.16,1.97,4.28,9.511000000000005
AMERICAN PLAICE,2002,21.89,0.17,4.28,9.511000000000005
AMERICAN PLAICE,2003,18.62,6.29,4.28,9.511000000000005
AMERICAN PLAICE,2004,12.39,12.02,4.28,9.511000000000005
AMERICAN PLAICE,2005,15.66,6.87,4.28,9.511000000000005
AMERICAN PLAICE,2006,23.55,0.63,4.28,9.511000000000005
AMERICAN PLAICE,2007,12.68,3.77,4.28,9.511000000000005
AMERICAN PLAICE,2008,16.84,1.14,4.28,9.511000000000005
AMERICAN PLAICE,2009,24.31,3.98,4.28,9.511000000000005
AMERICAN PLAICE,2010,25.9,1.36,4.28,9.511000000000005
AMERICAN PLAICE,2011,19.15,1.21,4.28,9.511000000000005
AMERICAN PLAICE,2012,34.65,0.05,4.28,9.511000000000005
AMERICAN PLAICE,2013,32.95,0.32,4.28,9.511000000000005
AMERICAN PLAICE,2014,36.31,2.01,4.28,9.511000000000005
AMERICAN PLAICE,2015,39.56,2.43,4.28,9.511000000000005
AMERICAN PLAICE,2016,38.26,0.09,4.28,9.511000000000005
AMERICAN PLAICE,2017,30.55,1.19,4.28,9.511000000000005
AMERICAN PLAICE,2018,35.88,0.6,4.28,9.511000000000005
AMERICAN PLAICE,2019,41.83,1.19,4.28,9.511000000000005
AMERICAN PLAICE,2020,41.12,0.15,4.28,9.511000000000005
AMERICAN PLAICE,2021,53.56,0,4.28,9.511000000000005
AMERICAN PLAICE,2022,40.78,0.13,4.28,9.511000000000005
AMERICAN PLAICE,2023,39.39,0.35,4.28,9.511000000000005
AMERICAN PLAICE,2024,13.11,2.85,4.28,9.511000000000005
ATLANTIC COD,1959,12.79,1.22,3,11
ATLANTIC COD,1960,13.51,0.67,3,11
ATLANTIC COD,1961,11.64,1.33,3,11
ATLANTIC COD,1962,14.23,0.97,3,11
ATLANTIC COD,1963,13.83,0.79,3,11
ATLANTIC COD,1964,12.82,0.92,3,11
ATLANTIC COD,1965,7.72,3.07,3,11
ATLANTIC COD,1966,9.32,1.69,3,11
ATLANTIC COD,1967,9.71,1.41,3,11
ATLANTIC COD,1968,10.13,2.78,3,11
ATLANTIC COD,1969,14.5,1.99,3,11
ATLANTIC COD,1970,13.01,0.86,3,11
ATLANTIC COD,1971,13.35,1.49,3,11
ATLANTIC COD,1972,16.52,0.8,3,11
ATLANTIC COD,1973,15.71,0.95,3,11
ATLANTIC COD,1974,20.55,0.17,3,11
ATLANTIC COD,1975,18.74,0.18,3,11
ATLANTIC COD,1976,16.62,0.3,3,11
ATLANTIC COD,1977,16.84,2.09,3,11
ATLANTIC COD,1978,17.45,1.17,3,11
ATLANTIC COD,1979,12.53,1.82,3,11
ATLANTIC COD,1980,11.32,1.68,3,11
ATLANTIC COD,1981,12.34,1.83,3,11
ATLANTIC COD,1982,16.17,1.55,3,11
ATLANTIC COD,1983,16.85,0.64,3,11
ATLANTIC COD,1984,13.19,0.76,3,11
ATLANTIC COD,1985,19.97,0.25,3,11
ATLANTIC COD,1986,21.45,0.23,3,11
ATLANTIC COD,1987,14.78,1.74,3,11
ATLANTIC COD,1988,13.65,0.57,3,11
ATLANTIC COD,1989,15.24,1.52,3,11
ATLANTIC COD,1990,16.47,0.26,3,11
ATLANTIC COD,1991,20.38,0.04,3,11
ATLANTIC COD,1992,15.26,0.6,3,11
ATLANTIC COD,1993,14.67,0.75,3,11
ATLANTIC COD,1994,20.27,0.53,3,11
ATLANTIC COD,1995,19,0.22,3,11
ATLANTIC COD,1996,7.93,0.57,3,11
ATLANTIC COD,1997,16.33,0.09,3,11
ATLANTIC COD,1998,10.27,0.18,3,11
ATLANTIC COD,1999,24.53,0.07,3,11
ATLANTIC COD,2000,18.46,0.08,3,11
ATLANTIC COD,2001,20.08,0.1,3,11
ATLANTIC COD,2002,20.85,0.02,3,11
ATLANTIC COD,2003,14.3,0.52,3,11
ATLANTIC COD,2004,10.68,1.79,3,11
ATLANTIC COD,2005,13.84,0.55,3,11
ATLANTIC COD,2006,22.09,0.01,3,11
ATLANTIC COD,2007,11.74,0.22,3,11
ATLANTIC COD,2008,15.85,0.01,3,11
ATLANTIC COD,2009,21.46,0.18,3,11
ATLANTIC COD,2010,17.94,0.14,3,11
ATLANTIC COD,2011,18.21,0.08,3,11
ATLANTIC COD,2012,28.41,0,3,11
ATLANTIC COD,2013,22.31,0.03,3,11
ATLANTIC COD,2014,25.41,0.21,3,11
ATLANTIC COD,2015,26.91,0.39,3,11
ATLANTIC COD,2016,26.08,0,3,11
ATLANTIC COD,2017,22.06,0.09,3,11
ATLANTIC COD,2018,17.43,0.06,3,11
ATLANTIC COD,2019,19.44,0.08,3,11
ATLANTIC COD,2020,22.2,0.01,3,11
ATLANTIC COD,2021,26.61,0,3,11
ATLANTIC COD,2022,26.8,0.05,3,11
ATLANTIC COD,2023,18.81,0.03,3,11
ATLANTIC COD,2024,13.67,0.23,3,11
ATLANTIC HALIBUT,1959,0,26.59,5,16
ATLANTIC HALIBUT,1960,0,22.08,5,16
ATLANTIC HALIBUT,1961,0,29.58,5,16
ATLANTIC HALIBUT,1962,0,23.78,5,16
ATLANTIC HALIBUT,1963,0,14.39,5,16
ATLANTIC HALIBUT,1964,0,20.37,5,16
ATLANTIC HALIBUT,1965,0,30.33,5,16
ATLANTIC HALIBUT,1966,0,28.05,5,16
ATLANTIC HALIBUT,1967,0,29.45,5,16
ATLANTIC HALIBUT,1968,0,28.37,5,16
ATLANTIC HALIBUT,1969,0.01,27.04,5,16
ATLANTIC HALIBUT,1970,0,15.59,5,16
ATLANTIC HALIBUT,1971,0.02,25,5,16
ATLANTIC HALIBUT,1972,0,22.27,5,16
ATLANTIC HALIBUT,1973,0,24.33,5,16
ATLANTIC HALIBUT,1974,0.01,9.98,5,16
ATLANTIC HALIBUT,1975,0.07,9.02,5,16
ATLANTIC HALIBUT,1976,0,4.73,5,16
ATLANTIC HALIBUT,1977,0,16.44,5,16
ATLANTIC HALIBUT,1978,0.01,17.23,5,16
ATLANTIC HALIBUT,1979,0,23.6,5,16
ATLANTIC HALIBUT,1980,0,16.45,5,16
ATLANTIC HALIBUT,1981,0,17.59,5,16
ATLANTIC HALIBUT,1982,0,15.9,5,16
ATLANTIC HALIBUT,1983,0,14.94,5,16
ATLANTIC HALIBUT,1984,0,12.51,5,16
ATLANTIC HALIBUT,1985,0,6.39,5,16
ATLANTIC HALIBUT,1986,0.12,8.79,5,16
ATLANTIC HALIBUT,1987,0,21.1,5,16
ATLANTIC HALIBUT,1988,0,12.9,5,16
ATLANTIC HALIBUT,1989,0,22.46,5,16
ATLANTIC HALIBUT,1990,0,14.9,5,16
ATLANTIC HALIBUT,1991,0.07,5.18,5,16
ATLANTIC HALIBUT,1992,0,23.56,5,16
ATLANTIC HALIBUT,1993,0.02,23.22,5,16
ATLANTIC HALIBUT,1994,0.07,9.08,5,16
ATLANTIC HALIBUT,1995,0.02,10.83,5,16
ATLANTIC HALIBUT,1996,0,12.23,5,16
ATLANTIC HALIBUT,1997,0,9.42,5,16
ATLANTIC HALIBUT,1998,0,12.59,5,16
ATLANTIC HALIBUT,1999,0.2,9.25,5,16
ATLANTIC HALIBUT,2000,0,3.26,5,16
ATLANTIC HALIBUT,2001,0,11.14,5,16
ATLANTIC HALIBUT,2002,0,1.84,5,16
ATLANTIC HALIBUT,2003,0,19.86,5,16
ATLANTIC HALIBUT,2004,0,28.59,5,16
ATLANTIC HALIBUT,2005,0,20.81,5,16
ATLANTIC HALIBUT,2006,0,5.54,5,16
ATLANTIC HALIBUT,2007,0,15.31,5,16
ATLANTIC HALIBUT,2008,0,10.98,5,16
ATLANTIC HALIBUT,2009,0.41,16.41,5,16
ATLANTIC HALIBUT,2010,0,5.61,5,16
ATLANTIC HALIBUT,2011,0.02,5.46,5,16
ATLANTIC HALIBUT,2012,0.02,0.86,5,16
ATLANTIC HALIBUT,2013,0.02,3.18,5,16
ATLANTIC HALIBUT,2014,0.24,7.76,5,16
ATLANTIC HALIBUT,2015,1.32,8.63,5,16
ATLANTIC HALIBUT,2016,1.03,0.97,5,16
ATLANTIC HALIBUT,2017,0.18,7.24,5,16
ATLANTIC HALIBUT,2018,0.02,2.27,5,16
ATLANTIC HALIBUT,2019,0.13,8.28,5,16
ATLANTIC HALIBUT,2020,0.03,1.88,5,16
ATLANTIC HALIBUT,2021,0.41,0,5,16
ATLANTIC HALIBUT,2022,0.34,1.2,5,16
ATLANTIC HALIBUT,2023,0.01,3.65,5,16
ATLANTIC HALIBUT,2024,0,14.79,5,16
ATLANTIC HERRING,1959,2.16,0,2,16
ATLANTIC HERRING,1960,2.62,0,2,16
ATLANTIC HERRING,1961,2.43,0,2,16
ATLANTIC HERRING,1962,2.42,0,2,16
ATLANTIC HERRING,1963,2.72,0,2,16
ATLANTIC HERRING,1964,2.66,0,2,16
ATLANTIC HERRING,1965,0.95,0,2,16
ATLANTIC HERRING,1966,1.47,0,2,16
ATLANTIC HERRING,1967,1.31,0,2,16
ATLANTIC HERRING,1968,1.82,0,2,16
ATLANTIC HERRING,1969,1.7,0,2,16
ATLANTIC HERRING,1970,1.83,0,2,16
ATLANTIC HERRING,1971,1.8,0,2,16
ATLANTIC HERRING,1972,2.15,0,2,16
ATLANTIC HERRING,1973,1.95,0,2,16
ATLANTIC HERRING,1974,2.48,0,2,16
ATLANTIC HERRING,1975,3.83,0,2,16
ATLANTIC HERRING,1976,1.92,0,2,16
ATLANTIC HERRING,1977,2.2,0,2,16
ATLANTIC HERRING,1978,2.96,0,2,16
ATLANTIC HERRING,1979,1.84,0,2,16
ATLANTIC HERRING,1980,1.1,0,2,16
ATLANTIC HERRING,1981,1.35,0,2,16
ATLANTIC HERRING,1982,2.5,0,2,16
ATLANTIC HERRING,1983,3.47,0,2,16
ATLANTIC HERRING,1984,1.76,0,2,16
ATLANTIC HERRING,1985,4.54,0,2,16
ATLANTIC HERRING,1986,3.98,0,2,16
ATLANTIC HERRING,1987,2.69,0,2,16
ATLANTIC HERRING,1988,2.33,0,2,16
ATLANTIC HERRING,1989,2.82,0,2,16
ATLANTIC HERRING,1990,3.25,0,2,16
ATLANTIC HERRING,1991,3.46,0,2,16
ATLANTIC HERRING,1992,2.61,0,2,16
ATLANTIC HERRING,1993,2.42,0,2,16
ATLANTIC HERRING,1994,3.73,0,2,16
ATLANTIC HERRING,1995,4.6,0,2,16
ATLANTIC HERRING,1996,2.68,0,2,16
ATLANTIC HERRING,1997,3.53,0,2,16
ATLANTIC HERRING,1998,2.82,0,2,16
ATLANTIC HERRING,1999,5.39,0,2,16
ATLANTIC HERRING,2000,3.72,0,2,16
ATLANTIC HERRING,2001,3.95,0,2,16
ATLANTIC HERRING,2002,4.79,0,2,16
ATLANTIC HERRING,2003,2.69,0,2,16
ATLANTIC HERRING,2004,2.46,0,2,16
ATLANTIC HERRING,2005,2.56,0,2,16
ATLANTIC HERRING,2006,4.08,0,2,16
ATLANTIC HERRING,2007,3.3,0,2,16
ATLANTIC HERRING,2008,4.28,0,2,16
ATLANTIC HERRING,2009,4.59,0,2,16
ATLANTIC HERRING,2010,3.65,0,2,16
ATLANTIC HERRING,2011,4.73,0,2,16
ATLANTIC HERRING,2012,5.51,0,2,16
ATLANTIC HERRING,2013,5.02,0,2,16
ATLANTIC HERRING,2014,7.17,0,2,16
ATLANTIC HERRING,2015,7.91,0,2,16
ATLANTIC HERRING,2016,6.09,0,2,16
ATLANTIC HERRING,2017,5.09,0,2,16
ATLANTIC HERRING,2018,3.44,0,2,16
ATLANTIC HERRING,2019,7,0,2,16
ATLANTIC HERRING,2020,5.19,0,2,16
ATLANTIC HERRING,2021,1.03,0,2,16
ATLANTIC HERRING,2022,7.57,0.01,2,16
ATLANTIC HERRING,2023,6.76,0,2,16
ATLANTIC HERRING,2024,6.2,0.02,2,16
BARNDOOR SKATE,1959,1.93,22.84,5.806000000000001,13.69
BARNDOOR SKATE,1960,3.12,26.23,5.806000000000001,13.69
BARNDOOR SKATE,1961,2.12,26.76,5.806000000000001,13.69
BARNDOOR SKATE,1962,3.52,24.86,5.806000000000001,13.69
BARNDOOR SKATE,1963,3.46,22.42,5.806000000000001,13.69
BARNDOOR SKATE,1964,2.14,20.78,5.806000000000001,13.69
BARNDOOR SKATE,1965,1.52,23.43,5.806000000000001,13.69
BARNDOOR SKATE,1966,1.05,22.01,5.806000000000001,13.69
BARNDOOR SKATE,1967,1.07,21.19,5.806000000000001,13.69
BARNDOOR SKATE,1968,1.14,27.42,5.806000000000001,13.69
BARNDOOR SKATE,1969,3.6,25.46,5.806000000000001,13.69
BARNDOOR SKATE,1970,2.15,18.38,5.806000000000001,13.69
BARNDOOR SKATE,1971,3.96,21.58,5.806000000000001,13.69
BARNDOOR SKATE,1972,5.01,14.7,5.806000000000001,13.69
BARNDOOR SKATE,1973,5.06,16.35,5.806000000000001,13.69
BARNDOOR SKATE,1974,5.14,10.51,5.806000000000001,13.69
BARNDOOR SKATE,1975,9.17,9.15,5.806000000000001,13.69
BARNDOOR SKATE,1976,4.46,9.04,5.806000000000001,13.69
BARNDOOR SKATE,1977,6.91,16.75,5.806000000000001,13.69
BARNDOOR SKATE,1978,6.91,21.86,5.806000000000001,13.69
BARNDOOR SKATE,1979,1.41,22.9,5.806000000000001,13.69
BARNDOOR SKATE,1980,1.72,19.38,5.806000000000001,13.69
BARNDOOR SKATE,1981,1.54,24.26,5.806000000000001,13.69
BARNDOOR SKATE,1982,5.32,24.53,5.806000000000001,13.69
BARNDOOR SKATE,1983,3.96,12.55,5.806000000000001,13.69
BARNDOOR SKATE,1984,2.55,13.67,5.806000000000001,13.69
BARNDOOR SKATE,1985,8.62,11.89,5.806000000000001,13.69
BARNDOOR SKATE,1986,9.62,9.81,5.806000000000001,13.69
BARNDOOR SKATE,1987,5.14,15.71,5.806000000000001,13.69
BARNDOOR SKATE,1988,3.21,14.71,5.806000000000001,13.69
BARNDOOR SKATE,1989,4.94,15.47,5.806000000000001,13.69
BARNDOOR SKATE,1990,3.12,12.74,5.806000000000001,13.69
BARNDOOR SKATE,1991,7.77,7.31,5.806000000000001,13.69
BARNDOOR SKATE,1992,1.9,17.55,5.806000000000001,13.69
BARNDOOR SKATE,1993,2.2,18.77,5.806000000000001,13.69
BARNDOOR SKATE,1994,4.05,12.6,5.806000000000001,13.69
BARNDOOR SKATE,1995,5.95,9.48,5.806000000000001,13.69
BARNDOOR SKATE,1996,0.74,16.36,5.806000000000001,13.69
BARNDOOR SKATE,1997,2.63,9.65,5.806000000000001,13.69
BARNDOOR SKATE,1998,1.26,18.21,5.806000000000001,13.69
BARNDOOR SKATE,1999,10.25,8.18,5.806000000000001,13.69
BARNDOOR SKATE,2000,2.89,4.3,5.806000000000001,13.69
BARNDOOR SKATE,2001,5.64,11.92,5.806000000000001,13.69
BARNDOOR SKATE,2002,7.25,2.28,5.806000000000001,13.69
BARNDOOR SKATE,2003,1.59,19.4,5.806000000000001,13.69
BARNDOOR SKATE,2004,1,27.48,5.806000000000001,13.69
BARNDOOR SKATE,2005,2.09,21.77,5.806000000000001,13.69
BARNDOOR SKATE,2006,4.9,8.62,5.806000000000001,13.69
BARNDOOR SKATE,2007,1.96,16.62,5.806000000000001,13.69
BARNDOOR SKATE,2008,3.58,13.5,5.806000000000001,13.69
BARNDOOR SKATE,2009,10.37,14.08,5.806000000000001,13.69
BARNDOOR SKATE,2010,4.76,5.73,5.806000000000001,13.69
BARNDOOR SKATE,2011,6.02,10.42,5.806000000000001,13.69
BARNDOOR SKATE,2012,11.89,0.24,5.806000000000001,13.69
BARNDOOR SKATE,2013,10.56,3.09,5.806000000000001,13.69
BARNDOOR SKATE,2014,12.73,9.52,5.806000000000001,13.69
BARNDOOR SKATE,2015,14.66,5.81,5.806000000000001,13.69
BARNDOOR SKATE,2016,12.61,2.18,5.806000000000001,13.69
BARNDOOR SKATE,2017,12.46,6.56,5.806000000000001,13.69
BARNDOOR SKATE,2018,6.6,7.34,5.806000000000001,13.69
BARNDOOR SKATE,2019,13.59,11.78,5.806000000000001,13.69
BARNDOOR SKATE,2020,6.87,1.88,5.806000000000001,13.69
BARNDOOR SKATE,2021,12.65,0.04,5.806000000000001,13.69
BARNDOOR SKATE,2022,10.07,1.2,5.806000000000001,13.69
BARNDOOR SKATE,2023,5.05,2.49,5.806000000000001,13.69
BARNDOOR SKATE,2024,3.7,13.94,5.806000000000001,13.69
CLEARNOSE SKATE,1959,0.05,30.74,7.3,22.602000000000004
CLEARNOSE SKATE,1960,0.07,31.11,7.3,22.602000000000004
CLEARNOSE SKATE,1961,0.03,32.97,7.3,22.602000000000004
CLEARNOSE SKATE,1962,0.1,27.03,7.3,22.602000000000004
CLEARNOSE SKATE,1963,0.01,29.72,7.3,22.602000000000004
CLEARNOSE SKATE,1964,0.05,25.17,7.3,22.602000000000004
CLEARNOSE SKATE,1965,0,34.01,7.3,22.602000000000004
CLEARNOSE SKATE,1966,0,33.38,7.3,22.602000000000004
CLEARNOSE SKATE,1967,0,28.91,7.3,22.602000000000004
CLEARNOSE SKATE,1968,0.02,34.95,7.3,22.602000000000004
CLEARNOSE SKATE,1969,0.01,36.6,7.3,22.602000000000004
CLEARNOSE SKATE,1970,0.12,28.51,7.3,22.602000000000004
CLEARNOSE SKATE,1971,0.02,31.33,7.3,22.602000000000004
CLEARNOSE SKATE,1972,0.06,20.99,7.3,22.602000000000004
CLEARNOSE SKATE,1973,0.2,23.43,7.3,22.602000000000004
CLEARNOSE SKATE,1974,0.15,11.77,7.3,22.602000000000004
CLEARNOSE SKATE,1975,0.05,24.39,7.3,22.602000000000004
CLEARNOSE SKATE,1976,0,17.81,7.3,22.602000000000004
CLEARNOSE SKATE,1977,0.04,32.42,7.3,22.602000000000004
CLEARNOSE SKATE,1978,0.05,27.61,7.3,22.602000000000004
CLEARNOSE SKATE,1979,0,32.31,7.3,22.602000000000004
CLEARNOSE SKATE,1980,0.01,37.88,7.3,22.602000000000004
CLEARNOSE SKATE,1981,0.01,35.73,7.3,22.602000000000004
CLEARNOSE SKATE,1982,0,31.76,7.3,22.602000000000004
CLEARNOSE SKATE,1983,0.16,19.72,7.3,22.602000000000004
CLEARNOSE SKATE,1984,0,36.84,7.3,22.602000000000004
CLEARNOSE SKATE,1985,0.43,21.47,7.3,22.602000000000004
CLEARNOSE SKATE,1986,0.34,15.17,7.3,22.602000000000004
CLEARNOSE SKATE,1987,0.29,28.1,7.3,22.602000000000004
CLEARNOSE SKATE,1988,0.03,28.88,7.3,22.602000000000004
CLEARNOSE SKATE,1989,0.21,26.76,7.3,22.602000000000004
CLEARNOSE SKATE,1990,0.49,16.78,7.3,22.602000000000004
CLEARNOSE SKATE,1991,0.2,16.46,7.3,22.602000000000004
CLEARNOSE SKATE,1992,0.06,19.13,7.3,22.602000000000004
CLEARNOSE SKATE,1993,1.05,29.58,7.3,22.602000000000004
CLEARNOSE SKATE,1994,1.28,29.92,7.3,22.602000000000004
CLEARNOSE SKATE,1995,4,16.54,7.3,22.602000000000004
CLEARNOSE SKATE,1996,1.03,35.47,7.3,22.602000000000004
CLEARNOSE SKATE,1997,2,13.7,7.3,22.602000000000004
CLEARNOSE SKATE,1998,1.87,20.84,7.3,22.602000000000004
CLEARNOSE SKATE,1999,2.76,13.25,7.3,22.602000000000004
CLEARNOSE SKATE,2000,1.4,13.51,7.3,22.602000000000004
CLEARNOSE SKATE,2001,1.98,28.04,7.3,22.602000000000004
CLEARNOSE SKATE,2002,3.01,3.21,7.3,22.602000000000004
CLEARNOSE SKATE,2003,0.74,25.12,7.3,22.602000000000004
CLEARNOSE SKATE,2004,0.52,41.01,7.3,22.602000000000004
CLEARNOSE SKATE,2005,1.37,29.08,7.3,22.602000000000004
CLEARNOSE SKATE,2006,1.35,10.97,7.3,22.602000000000004
CLEARNOSE SKATE,2007,2.04,22.45,7.3,22.602000000000004
CLEARNOSE SKATE,2008,2.69,10.68,7.3,22.602000000000004
CLEARNOSE SKATE,2009,1.97,20.3,7.3,22.602000000000004
CLEARNOSE SKATE,2010,2.08,31.41,7.3,22.602000000000004
CLEARNOSE SKATE,2011,2.43,23.19,7.3,22.602000000000004
CLEARNOSE SKATE,2012,4.03,1.05,7.3,22.602000000000004
CLEARNOSE SKATE,2013,1.89,16.28,7.3,22.602000000000004
CLEARNOSE SKATE,2014,3.62,17.53,7.3,22.602000000000004
CLEARNOSE SKATE,2015,3.71,19.21,7.3,22.602000000000004
CLEARNOSE SKATE,2016,5.06,8.5,7.3,22.602000000000004
CLEARNOSE SKATE,2017,1.98,13.46,7.3,22.602000000000004
CLEARNOSE SKATE,2018,2.03,24.7,7.3,22.602000000000004
